state,election_date,county,precinct,contest_name,votes_for,votes_against,total,pct_for
NC,2022-11-08,UNION,031,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1136,685,1821,62.38
NC,2022-11-08,UNION,032,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1197,832,2029,58.99
NC,2022-11-08,UNION,033,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,751,608,1359,55.26
NC,2022-11-08,UNION,034,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1147,959,2106,54.46
NC,2022-11-08,UNION,035,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,767,467,1234,62.16
NC,2022-11-08,UNION,036,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,700,378,1078,64.94
NC,2022-11-08,UNION,037A,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1795,944,2739,65.53
NC,2022-11-08,UNION,037B,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,607,354,961,63.16
NC,2022-11-08,UNION,038A,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1014,630,1644,61.68
NC,2022-11-08,UNION,038B,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,829,417,1246,66.53
NC,2022-11-08,UNION,039,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,766,697,1463,52.36
NC,2022-11-08,UNION,040,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1490,800,2290,65.07
NC,2022-11-08,UNION,041,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1713,910,2623,65.31
NC,2022-11-08,UNION,042,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,625,413,1038,60.21
NC,2022-11-08,UNION,043,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,200,58,258,77.52
NC,2022-11-08,WAKE,01-01,WAKE COUNTY COMMUNITY COLLEGE BONDS REFERENDUM,481,133,614,78.34
NC,2022-11-08,WAKE,01-02,WAKE COUNTY COMMUNITY COLLEGE BONDS REFERENDUM,495,141,636,77.83
NC,2022-11-08,WAKE,01-03,WAKE COUNTY COMMUNITY COLLEGE BONDS REFERENDUM,599,281,880,68.07
NC,2022-11-08,WAKE,01-04,WAKE COUNTY COMMUNITY COLLEGE BONDS REFERENDUM,319,144,463,68.9
NC,2022-11-08,WAKE,01-05,WAKE COUNTY COMMUNITY COLLEGE BONDS REFERENDUM,404,154,558,72.4
NC,2022-11-08,WAKE,01-06,WAKE COUNTY COMMUNITY COLLEGE BONDS REFERENDUM,664,208,872,76.15
NC,2022-11-08,WAKE,01-07,WAKE COUNTY COMMUNITY COLLEGE BONDS REFERENDUM,525,196,721,72.82
