state_fips,place_fips5,name,homeown,share65,frac,medinc,pop
01,00124,"Abbeville city, Alabama",0.6599,0.2689,0.5600,36875,2573
01,09016,"Brantley town, Alabama",0.5069,0.1473,0.5229,20707,1005
01,20008,"Deatsville town, Alabama",0.8221,0.0750,0.4165,79243,1679
01,18040,"Courtland town, Alabama",0.5857,0.1882,0.5155,39635,760
01,01228,"Aliceville city, Alabama",0.4633,0.1550,0.3193,22692,2362
01,51000,"Montgomery city, Alabama",0.5507,0.1430,0.5349,48011,199783
01,28312,"Frisco City town, Alabama",0.6309,0.1995,0.5472,24583,1539
01,12496,"Castleberry town, Alabama",0.6818,0.2763,0.3937,23667,485
01,09208,"Brewton city, Alabama",0.6063,0.1882,0.5426,42898,5240
01,26824,"Flomaton town, Alabama",0.6316,0.1616,0.5366,24662,1652
01,26200,"Five Points town, Alabama",0.8222,0.3271,0.3303,33036,107
01,57576,"Oxford city, Alabama",0.7131,0.1449,0.4529,57887,21323
01,18088,"Cowarts town, Alabama",0.7698,0.1489,0.3937,44808,2142
01,62496,"Prichard city, Alabama",0.5845,0.1736,0.2041,29009,21773
01,68352,"Satsuma city, Alabama",0.8535,0.1926,0.2011,64348,6159
01,47728,"Maytown town, Alabama",0.7970,0.1610,0.1989,57589,354
01,51456,"Morris town, Alabama",0.8775,0.2178,0.0781,76307,1841
01,61008,"Pleasant Grove city, Alabama",0.8637,0.1860,0.5034,70526,9651
01,29992,"Glencoe city, Alabama",0.7825,0.2375,0.0984,60290,5077
01,35392,"Hokes Bluff city, Alabama",0.8783,0.1906,0.0371,49167,4286
01,30808,"Gordonville town, Alabama",0.6790,0.2198,0.1712,25179,182
01,43816,"Lockhart town, Alabama",0.6899,0.2379,0.3630,31518,290
01,03220,"Autaugaville town, Alabama",0.7252,0.2233,0.3993,32159,963
01,02116,"Arab city, Alabama",0.6682,0.2020,0.1230,46517,8293
01,58896,"Pell City city, Alabama",0.5849,0.1900,0.2566,54674,13781
01,66216,"Rogersville town, Alabama",0.5556,0.1945,0.3245,37578,1424
01,69648,"Sheffield city, Alabama",0.5771,0.2144,0.4516,34194,8986
01,09424,"Brilliant town, Alabama",0.6865,0.1842,0.0488,24643,923
01,33472,"Harvest CDP, Alabama",0.8820,0.1765,0.4696,83677,5819
01,24808,"Evergreen city, Alabama",0.5586,0.2016,0.4669,32602,3646
01,64368,"Repton town, Alabama",0.8655,0.0754,0.5589,36250,491
01,22216,"East Brewton city, Alabama",0.4439,0.1196,0.5003,36696,2917
01,03076,"Auburn city, Alabama",0.4564,0.0811,0.4879,47318,64054
01,57048,"Opelika city, Alabama",0.6492,0.1430,0.5795,48459,30232
01,42160,"Leighton town, Alabama",0.5082,0.1916,0.5170,35357,971
01,27640,"Fort Rucker CDP, Alabama",0.0062,0.0000,0.5301,70024,5311
01,48400,"Midland City town, Alabama",0.3765,0.1407,0.5194,27895,1961
01,07120,"Black town, Alabama",0.8352,0.1478,0.0483,48750,203
01,29464,"Geneva city, Alabama",0.6894,0.1668,0.4135,42031,4340
01,38248,"Jacksons' Gap town, Alabama",0.7509,0.1948,0.1722,53750,698
01,46504,"Maplesville town, Alabama",0.7114,0.1431,0.3595,41071,636
01,56400,"Odenville town, Alabama",0.8755,0.1133,0.1011,82582,3848
01,10240,"Brundidge city, Alabama",0.6992,0.2009,0.5147,33795,2345
01,65040,"Roanoke city, Alabama",0.6837,0.1956,0.5579,42069,5926
01,22816,"Eclectic town, Alabama",0.6525,0.0886,0.4647,41563,1309
01,09328,"Bridgeport city, Alabama",0.6440,0.2066,0.1798,28568,2106
01,21952,"Dutton town, Alabama",0.8120,0.0890,0.1178,46750,382
01,61038,"Pleasant Groves town, Alabama",0.8750,0.1837,0.0701,50500,441
01,25840,"Fayette city, Alabama",0.5503,0.2337,0.4788,33472,4364
01,55440,"Notasulga town, Alabama",0.8180,0.1385,0.4974,36970,1011
01,03676,"Baileyton town, Alabama",0.7846,0.1927,0.1792,37118,872
01,81528,"West Point town, Alabama",0.7628,0.1270,0.1054,56354,614
01,55848,"Oak Hill town, Alabama",0.7500,0.3182,0.4959,,22
01,24664,"Eutaw town, Alabama",0.5985,0.2422,0.3981,25716,2676
01,26848,"Florala town, Alabama",0.7276,0.3198,0.3028,27944,1551
01,64104,"Reform town, Alabama",0.5158,0.1925,0.5360,27391,1621
01,72600,"Springville city, Alabama",0.9076,0.2025,0.1245,83488,4257
01,73080,"Stevenson town, Alabama",0.6118,0.2076,0.4162,35066,1705
01,77904,"Uniontown town, Alabama",0.6591,0.1356,0.1701,17000,1880
01,59760,"Pike Road town, Alabama",0.8450,0.1025,0.5377,102734,9320
01,38608,"Jemison city, Alabama",0.7770,0.1494,0.3339,46328,2630
01,30640,"Goodwater town, Alabama",0.6488,0.1792,0.3283,25000,1261
