unit9,year,ltd_iss_k,ltd_out_k
055044015,2023,,39776.0
055044012,2023,,63600.0
055044009,2023,,2335.0
055045013,2023,,38335.0
055045016,2023,,1329.0
055045020,2023,,3170.0
055045028,2023,,4583.0
055045032,2023,,28948.0
055045036,2023,1622.0,42672.0
055045011,2023,83.0,1151.0
055045001,2023,,10595.0
055045006,2023,3155.0,21236.0
055045010,2023,,8688.0
055045030,2023,,8095.0
055045035,2023,,51040.0
055045502,2023,,3575.0
055047037,2023,,15516.0
055048002,2023,1449.0,68886.0
055048023,2023,,257088.0
055048007,2023,,61452.0
055048025,2023,52000.0,163724.0
055048701,2023,,25995.0
055049052,2023,,50054.0
055049070,2023,4421.0,4347.0
055049001,2023,,5204.0
055049012,2023,,69227.0
055049022,2023,,10103.0
055049039,2023,,3487.0
055049044,2023,,48488.0
055049057,2023,,20008.0
055049062,2023,,4469.0
055049068,2023,,2294.0
055049071,2023,,98975.0
055049072,2023,,16947.0
055049046,2023,,50527.0
055049054,2023,143031.0,373463.0
055049004,2023,24683.0,85692.0
055049014,2023,,158975.0
055049020,2023,,7641.0
055049027,2023,,10180.0
055049042,2023,3000.0,15246.0
055049053,2023,,13284.0
055049067,2023,,7075.0
055049007,2023,,12550.0
055049028,2023,,9722.0
055049024,2023,,5961.0
055049038,2023,,16701.0
055049048,2023,,16079.0
055049059,2023,,121779.0
055049301,2023,,123993.0
055049501,2023,5970.0,5970.0
055049011,2023,,2468.0
055050005,2023,,19260.0
055050028,2023,,215.0
055050038,2023,,17425.0
055050042,2023,,100982.0
055050305,2023,,10999.0
055050019,2023,139518.0,301046.0
055050302,2023,,17989.0
055050303,2023,8500.0,30673.0
055050013,2023,271.0,4716.0
055050036,2023,2575.0,17718.0
055050039,2023,,43220.0
055050502,2023,,3288.0
055050601,2023,,34030.0
055050003,2023,,100479.0
055050501,2023,,6185.0
055051002,2023,,3811.0
055051021,2023,,17643.0
055051023,2023,657.0,49762.0
055051011,2023,,8001.0
055051007,2023,,2184.0
055052003,2023,8690.0,9128.0
055052006,2023,,64.0
055052020,2023,,28888.0
055053006,2023,,5280.0
055053601,2023,,2000.0
055054025,2023,,76.0
055054039,2023,,9030.0
055054057,2023,6455.0,8981.0
055054067,2023,860.0,107661.0
055054073,2023,,2946.0
055054005,2023,,9369.0
055054012,2023,,10372.0
055054018,2023,,9489.0
055054026,2023,,314.0
055054040,2023,,3475.0
055054050,2023,,1760.0
055054051,2023,,1196.0
055054059,2023,,3516.0
055054062,2023,2232.0,39597.0
055054302,2023,754.0,50403.0
055054027,2023,,25287.0
055054016,2023,,31051.0
055055004,2023,,8311.0
055055017,2023,,21695.0
055055020,2023,659.0,15296.0
055055007,2023,52.0,5057.0
055055018,2023,56.0,808.0
055056022,2023,,107250.0
055056035,2023,113000.0,146836.0
055056007,2023,,33696.0
055056015,2023,1316.0,1316.0
055056023,2023,,100349.0
055056017,2023,,48800.0
055056018,2023,248.0,17518.0
055056027,2023,,83298.0
055056901,2023,,143845.0
055056012,2023,4257.0,76602.0
055056010,2023,,14422.0
055056019,2023,87133.0,348149.0
055056003,2023,,5663.0
055056009,2023,2000.0,58996.0
055056032,2023,,9597.0
055056601,2023,1294.0,75246.0
055056031,2023,3591.0,284002.0
055057501,2023,23.0,1080.0
055057028,2023,,39812.0
055057023,2023,,191618.0
055058018,2023,,7912.0
141001001,2023,,27709.0
141004004,2023,,1965.0
141010010,2023,40529.0,52912.0
141011011,2023,,789.0
141015015,2023,,402.0
141016016,2023,488850.0,3067085.0
141017017,2023,,1.0
141019019,2023,4076.0,63942.0
141022022,2023,90601.0,178286.0
141027027,2023,147.0,395.0
141029029,2023,,790.0
141034034,2023,140.0,140.0
141037037,2023,239.0,1564.0
141045045,2023,9048.0,290665.0
141047047,2023,,17380.0
141048048,2023,523.0,3987.0
141049049,2023,30581.0,380192.0
141050050,2023,108.0,65.0
141053053,2023,,682.0
141055055,2023,582.0,2892.0
141056056,2023,20927.0,11201.0
141057057,2023,2896.0,1964.0
141058058,2023,,357.0
141059059,2023,,425.0
141060060,2023,,1244.0
141071071,2023,2388.0,22214.0
141072072,2023,22090.0,39063.0
141077077,2023,,2044.0
141081081,2023,12188.0,71913.0
141082082,2023,,103345.0
141084084,2023,41900.0,81646.0
