AgencyCode,AgencyName,Cesa,ReferendumId,VoteDate,ReferendumTypeCode,ReferendumType,Amount,AnnualAmount,BriefDescription,FullDescription,YesVotes,NoVotes,ReferendumStatusCode,ReferendumStatus
0735,Bruce School District (0735),10,386,2008-04-01,NR,Non-Recurring Referendum,300000.0,"2008-2009  300000.00,2009-2010  300000.00,2010-2011  300000.00,2011-2012  300000.00,2012-2013  300000.00","maintaining school facilities, purchasing buses, and upgrading technology","Be it resolved by the School Board of the School District of Bruce, Rusk and Sawyer Counties, Wisconsin, that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes for 5 years, beginning with the 2008-2009 school year and through the 2012-2013 school year, by $300,000 a year, for non-recurring purposes consisting of maintaining school facilities, purchasing buses, and upgrading technology.",481,611,FV,Failed
0903,Cameron School District (0903),11,427,2008-04-01,ID,Issue Debt,1000000.0,,The cost of maintaining District facilities,"Be it resolved  by the School Board of the School District of Cameron, Barron County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $1,000,000 for the public purpose of paying the cost of maintaining District facilities.",414,207,PV,Passed
0994,Cassville School District (0994),03,438,2008-04-01,NR,Non-Recurring Referendum,200000.0,"2008-2009  200000.00,2009-2010  300000.00,2010-2011  400000.00,2011-2012  600000.00,2012-2013  800000.00,2013-2014  800000.00,2014-2015  800000.00","for nonrecurring purposes consisting of paying the costs of maintaining the educational programs, facilities and equipment of the District","BE IT RESOLVED by the School Board of the School District of Cassville, Grant County, Wisconsin, that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $200,000 for the 2008-2009 school year, $300,000 for the 2009-2010 school year, $400,000 for the 2010-2011 school year, $600,000 for the 2011-2012 school year and $800,000 for each of the 2012-2013, 2013-2014 and 2014-2015 school years (for a total of $3,900,000) for nonrecurring purposes consisting of paying the costs of maintaining the educational programs, facilities and equipment of the District.",513,103,PV,Passed
1078,Chetek School District (1078),11,458,2008-04-01,RR,Recurring Referendum,300000.0,"2008-2009  300000.00,2009-2010  300000.00,2010-2011  300000.00,2011-2012  300000.00",To exceed revenue cap on a recurring basis for 4 years.,"Shall the School Board of the School District of Chetek be authorized to exceed the revenue limit under 121.91 of the Wisconsin Statutes in the 2008-2009, 2009-2010, 2010-2011, and 2011-2012 school years in amounts not to exceed $300,000 for the 2008-2009 school year, $300,000 for the 2009-2010 school year, $300,000 for the 2010-2011 school year, and $300,000 for the 2011-2012 school year, resulting in a total increase of $1,200,000 beyond statutory revenue limits for the 2011-2012 school year and every year thereafter, for use for the purpose of meeting the operating expense requirements to properly operate its educational facilities?",342,1530,FV,Failed
1260,Cumberland School District (1260),11,587,2008-04-01,ID,Issue Debt,5900000.0,,"Construct new auditorium; maintenance, repair and improvement projects and acquire equipment and vehicles.","Be it resolved by the School Board of the Cumberland School District, Barron, Burnett and Polk Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $5,900,000 for the public purpose of paying the cost of constructing a new middle school/high school auditorium; maintenance, repair and improvement projects at all District buildings and sites; and acquiring equipment and vehicles.",693,1450,FV,Failed
1499,Durand-Arkansaw School District (1499),11,709,2008-04-01,RR,Recurring Referendum,400000.0,"2008-2009  400000.00,2009-2010  400000.00,2010-2011  400000.00",meeting the operating expense requirements to properly operate its educational facilities,"Be it resolved by the School Board of the School District of Durand, that it shall include revenue in its budget for each of the 2008-2009, 2009-2010, and 2010-2011 school years on a recurring basis in an amount not to exceed $400,000 each year in excess of the revenue limits as is set forth in Section 121.91, Wis. Stats., (for a total increase of $1,200,000 for the 2010-2011 school year and thereafter) the specific amount, subject to the maximum expressed above, for use for the recurring purpose of meeting the operating expense requirements to properly operate its educational facilities shall be determined annually by the School Board.",648,1508,FV,Failed
1582,Elcho School District (1582),09,792,2008-04-01,NR,Non-Recurring Referendum,500000.0,"2008-2009  500000.00,2009-2010  500000.00,2010-2011  500000.00,2011-2012  500000.00,2012-2013  500000.00",general operation and maintenance expenses,"Be it resolved by the School Board of the School District of Elcho, Langlade and Oneida Counties, Wisconsin, that the revenues included in the School District budget for the 2008-2009 school year through the 2012-2013 school year be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $500,000 a year for each of those 5 years, for non-recurring purposes consisting of general operation and maintenance expenses",467,588,FV,Failed
1659,Ellsworth Community School District (1659),11,845,2008-04-01,NR,Non-Recurring Referendum,950000.0,"2008-2009  950000.00,2009-2010  950000.00,2010-2011  950000.00,2011-2012  950000.00,2012-2013  950000.00,2013-2014  950000.00",For non-recurring purposes,"BE IT RESOLVED by the School Board of the Ellsworth Community School District, Pierce County, Wisconsin, that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, beginning with the 2008-2009 school year and ending with the 2013-2014 school year, by $950,000 a year, for non-recurring purposes.",595,877,FV,Failed
1673,Royall School District (1673),04,869,2008-04-01,ID,Issue Debt,1400000.0,,Refunding outstanding district obligations,"Initial resolution authorizing general obligation bonds in an amount not to exceed $1,400,000 was adopted pursuant to the provisions of Chapter 67 of the Wisconsin Statutes for the public purpose of paying the cost of refunding outstanding obligations of the District",606,250,PV,Passed
2184,Glendale-River Hills School District (2184),01,1095,2008-04-01,ID,Issue Debt,3750000.0,,"various repair, maintenance, replacement and improvement projects at all district buildings and sites","BE IT RESOLVED by the School Board of the Glendale-River Hills School District, Milwaukee County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $3,750,000 for the public purpose of paying the cost of various repair, maintenance, replacement and improvement projects at all District buildings and sites including, but not limited to, projects to comply with the Americans With Disabilities Act, roof repairs, boiler and carpet replacement, parking lot improvements, and acquiring equipment, technology and fixtures.",2687,1139,PV,Passed
2303,Greenfield School District (2303),01,1171,2008-04-01,ID,Issue Debt,410000.0,,"$410,000 for the cost of demolition work; constructing a new utility building on the high school site and acquiring equipment and fixtures.","Be it resolved by the School Board of the School District of Greenfield, Milwaukee County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $410,000 for the public purpose of paying the cost of demolition work; constructing a new utility building on the high school site and acquiring equipment and fixtures.",3342,2769,PV,Passed
2303,Greenfield School District (2303),01,1172,2008-04-01,ID,Issue Debt,5975000.0,,"$5,975,000 for the cost of constructing a swimming pool addition to the high school and acquiring equipment and fixtures.","Be it resolved by the School Board of the School District of Greenfield, Milwaukee County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $5,975,000 for the public purpose of paying the cost of constructing a swimming pool addition to the high school and acquiring equipment and fixtures.",3235,2977,PV,Passed
2443,Hartford J1 School District (2443),06,1239,2008-04-01,ID,Issue Debt,24952000.0,,"acquire land and construct and equip a new elementary school facility including related site work; improving, adding to and renovating existing school facilities;and upgrading and replacing fixtures and equipment","Be it resolved by the School Board of the School District of Hartford Joint No. 1, Towns of Addison, Ashippun, Erin, Hartford and Rubicon, Washington and Dodge Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $24,952,000 for the public purpose of paying the cost of acquiring land and constructing and equipping a new elementary school facility including site work; improving, adding to and renovating existing school facilities; and upgrading and replacing fixtures and equipment",1191,2672,FV,Failed
2443,Hartford J1 School District (2443),06,1240,2008-04-01,RR,Recurring Referendum,593000.0,,costs in connection with the operation of the new elementary school facility,"Be it resolved by the School Board of the School District of Hartford Joint No. 1, towns of Addison, Ashippun, Erin, Hartford and Rubicon, Washington and Dodge Counties, Wisconsin, that the revenues included in the School District budget for the 2009-2010 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $593,000 a year, for recurring purposes in connection with the operation of the new elementary school facility",1110,2742,FV,Failed
2646,Iowa-Grant School District (2646),03,1455,2008-04-01,NR,Non-Recurring Referendum,500000.0,"2008-2009  500000.00,2009-2010  500000.00",To fund school district operating expenses,"BE IT RESOLVED by the School Board of the Iowa-Grant School District, Grant and Iowa Counties, Wisconsin, that, for the purpose of providing for the operational needs of the School District, the School District budget for each of the 2008-09 and 2009-10 school years shall include the following amounts in excess of the revenue limits imposed by Section 121.91(2m), Wisconsin Statutes:  for the 2008-2009 school year an amount of $500,000 on a non-recurring basis; and for the 2009-2010 school year an amount of $500,000 on a non-recurring basis.",695,418,PV,Passed
2702,Jefferson School District (2702),02,1480,2008-04-01,ID,Issue Debt,45600000.0,,Addition and renovation to high school,"Be it resolved by the School Board of the School District of Jefferson, Jefferson County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $45,600,000 for the public purpose of paying the cost of constructing and equipping a new high school facility; demolishing a portion of the existing high school facility; renovating the District administrative office, auditorium and music facilities at the existing high school; and relocating and upgrading certain existing athletic fields.",1417,1665,FV,Failed
2849,La Crosse School District (2849),04,1593,2008-04-01,NR,Non-Recurring Referendum,4175000.0,"2009-2010  4175000.00,2010-2011  4175000.00,2011-2012  4175000.00,2012-2013  4175000.00,2013-2014  4175000.00",maintaining educational programs; maintaining District facilities; and replacing technology,"BE IT RESOLVED by the School Board of the School District of La Crosse, La Crosse and Vernon Counties, Wisconsin, that the revenues included in the School District budget beginning with the 2009-2010 school year and ending with the 2013-2014 school year be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $4,175,000 a year, for non-recurring purposes consisting of maintaining educational programs; maintaining District facilities; and replacing technology.
Adopted and recorded February 11, 2008.
",5701,4993,PV,Passed
2849,La Crosse School District (2849),04,1594,2008-04-01,ID,Issue Debt,35000000.0,,"paying the cost of adding to, renovating and upgrading existing school facilities including HVAC, safety, and security systems; closing and demolishing the Franklin Elementary School; closing the Roosevelt Elementary School; constructing and equipping a new replacement elementary school on the Franklin Elementary School site.","BE IT RESOLVED by the School Board of the School District of La Crosse, La Crosse and Vernon Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $35,000,000 for the public purpose of paying the cost of adding to, renovating and upgrading existing school facilities including HVAC, safety, and security systems; closing and demolishing the Franklin Elementary School; closing the Roosevelt Elementary School; constructing and equipping a new replacement elementary school on the Franklin Elementary School site.  Adopted and recorded February 11, 2008.",5144,5417,FV,Failed
2898,Lake Mills Area School District (2898),02,1668,2008-04-01,NR,Non-Recurring Referendum,200000.0,"2008-2009  200000.00,2009-2010  200000.00,2010-2011  200000.00,2011-2012  200000.00,2012-2013  200000.00",Adding and Replacing Technology,"Be It Resolved by the School Board of the Lake Mills Area School District, Jefferson County, Wisconsin that the revenues included in the School District budget beginning with the 2008-2009 school year and ending with the 2012-2013 school year be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, for five years by $200,000 per year, for non-recurring purposes of adding and replacing technology.",1012,809,PV,Passed
3220,Luxemburg-Casco School District (3220),07,1742,2008-04-01,ID,Issue Debt,18500000.0,,"for the public purpose of paying the cost of acquiring land, and making school improvements including expanding and remodeling the high school and primary school; demolishing the oldest portion of the middle school and expanding and remodeling it; remodeling the intermediate school; and acquiring furnishings, fixtures and equipment.",above,1238,1965,FV,Failed
3276,Manawa School District (3276),06,1770,2008-04-01,NR,Non-Recurring Referendum,800000.0,"2008-2009  800000.00,2009-2010  800000.00,2010-2011  800000.00,2011-2012  800000.00,2012-2013  800000.00,2013-2014  800000.00","general operations to maintain educational programs, and to replace, maintain, and/or upgrade school district technology","RESOLUTION
AUTHORIZING THE SCHOOL DITRICT BUDGET TO
EXCEED REVENUE LIMIT FOR SIX YEARS
FOR NON-RECURRING PURPOSES

BE IT RESOLVED by the School Board of the School District of Manawa, Waupaca County, Wisconsin, that the revenues included in the School District budget for the 2008-2009 school year through the 2013-2014 school year be authorized to exceed the revenue limit specified in Section 121.91., Wisconsin Statutes, by $800,000 a year, for non-recurring purposes for general operations to maintain educational programs, and to replace, maintain, and/or upgrade school district technology.

",258,894,FV,Failed
3276,Manawa School District (3276),06,1771,2008-04-01,RR,Recurring Referendum,195000.0,,"paying the cost of operation and maintenance expenses including textbooks, bus purchasing and buildings and grounds maintenance","RESOLUTION
AUTHORIZING THE SCHOOL DISTRICT BUDGET TO 
EXCCED REVENUE LIMIT BY $195,000 
FOR RECURRING PURPOSES

	BE IT RESOLVED by the School Board of the School District of Manawa, Waupaca County, Wisconsin, that the revenues included in the School District budget for the 2012-2013 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $195,000 a year, for recurring purposes consisting of paying the cost of operation and maintenance expenses including textbooks, bus purchasing and buildings and grounds maintenance.
",297,849,FV,Failed
3549,Middleton-Cross Plains Area School District (3549),02,1961,2008-04-01,ID,Issue Debt,3900000.0,,"New Transportation Center
","Shall the following Initial Resolution be approved?
INITIAL RESOLUTION AUTHORIZING GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $3,900,000

BE IT RESOLVED by the School Board of Middleton-Cross Plains Area School District, Dane County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $3,900,000 for the public purpose of paying the cost of constructing and equipping a transportation center for the District.",4131,2306,PV,Passed
3689,Montello School District (3689),05,2059,2008-04-01,NR,Non-Recurring Referendum,975000.0,"2008-2009  975000.00,2009-2010  975000.00,2010-2011  975000.00",maintaining instructional programs,"Be it resolved by the Montello School District Board of Education, Marquette County, Wisconsin, that the final school district budget will include $975,000 beginning with the 2008-2009 school year through the 2010-2011 school year in excess of the revenue limit set forth in Section 121.91, Wis. Stats., on a non-recurring basis, such excess to be used to maintain instructional programs during the aforesaid school years",803,952,FV,Failed
3696,Monticello School District (3696),02,2067,2008-04-01,NR,Non-Recurring Referendum,305000.0,"2008-2009  305000.00,2009-2010  390000.00,2010-2011  430000.00,2011-2012  430000.00,2012-2013  430000.00,2013-2014  430000.00","operational expenses, acquiring textbooks, vehicles and technology equipment, replace storage garage, maintenance and repair projects including roofing, HVAC systems and flooring","RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT FOR SIX YEARS FOR NON-RECURRING PURPOSES

BE IT RESOLVED by the School Board of the School District of Monticello, Green County, Wisconsin, that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $305,000 for the 2008-2009 school year, by $390,000 for the 2009-2010 school year, and by $430,000 for the 2010-2011 through 2013-2014 school years, for non-recurring purposes consisting of operational expenses; acquiring textbooks, vehicles and technology equipment; replacing the storage garage; and maintenance and repair projects including roofing, HVAC systems, and flooring.",415,200,PV,Passed
4459,Plum City School District (4459),11,2532,2008-04-01,RR,Recurring Referendum,350000.0,"2008-2009  350000.00,2009-2010  350000.00,2010-2011  350000.00","Operational expense, maintenance, transportation, facility repairs","BE IT RESOLVED by the School Board of the School District of Plum City, Pepin and Pierce Counties, Wisconsin, that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes beginning with the 2008-2009 school year by $350,000; for the 2009-2010 school year by an additional $350,000 (for a total of $700,000); and for the 2010-2011 school year and thereafter by an additional $350,000 (for a total of $1,050,000) for recurring purposes.  Adopted and recorded February 5, 2008.",96,747,FV,Failed
4501,Portage Community School District (4501),05,2551,2008-04-01,ID,Issue Debt,2300000.0,,cost of maintaining existing school facilities and upgrades,"Be it resolved by the School Board of the Portage School District, Columbia, Marquette and Sauk Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $2,300,000 for the public purpose of paying the cost of maintaining existing school facilities and grounds upgrades",1432,731,PV,Passed
4536,Poynette School District (4536),05,2586,2008-04-01,ID,Issue Debt,13410000.0,,construct and equip a new Pre K-3 elementary school; closing the Arlington and Dekorra Elementary schools; renovating the existing Poynette K-8 building and equipping it to be a grades 4-8 building; upgrading security systems in district buildings; removing asbestos,"Be it resolved by the School Board of the School District of Poynette, Dane and Columbia Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $13,410,000 for the public purpose of paying the cost of constructing and equipping a new Pre K-3 elementary school; closing the Arlington and Dekorra Elementary Schools; renovating the existing Poynette K-8 building and equipping it to be a grades 4-8 building; upgrading security systems in district buildings; and removing asbestos",795,979,FV,Failed
4606,Princeton School District (4606),05,2648,2008-04-01,NR,Non-Recurring Referendum,200000.0,"2008-2009  200000.00,2009-2010  300000.00,2010-2011  300000.00",,"Be it resolved by the School Board of the School District of Princeton, Green Lake County, Wisconsin, that the revenues inlcuded in the School District Budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $200,000 in the 2008-09 school year, by $300,000 in the 2009-10 school year, and by $300,000 in the 2010-11 school year for non-recurring purposes which would prevent further cuts to student's educational opportunities and maintain the investment in our facilities",425,420,PV,Passed
4620,Racine Unified School District (4620),01,2689,2008-04-01,NR,Non-Recurring Referendum,3300000.0,"2008-2009  3300000.00,2009-2010  3300000.00,2010-2011  3300000.00,2011-2012  3300000.00,2012-2013  3300000.00","$3,300,000 per year for 5 years","Resolution authorizing the school district budget to exceed revenue limit by $3,300,000 for five years for non-recurring purposes.",11480,9681,PV,Passed
4781,Rhinelander School District (4781),09,2762,2008-04-01,RR,Recurring Referendum,100000.0,,paying operational costs associated with a new pool,"Be it resolved by the School Board of the School District of Rhinelander, Oneida, Lincold and Langlade Counties, Wisconsin, that the revenues included in the School District budget for the 2008-2009 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $100,000 a year, for recurring purposes including paying operational costs associated with a new pool",2881,3745,FV,Failed
4781,Rhinelander School District (4781),09,2763,2008-04-01,ID,Issue Debt,3500000.0,,"constructing a new pool, acquiring and installing related equipment, furniture and fixtures","Be it resolved by the School Board of the School District of Rhinelander, Oneida, Lincoln and Langlade Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $3,500,000 for the public purpose of constructing a new pool, and acquiring and installing related equipment, furniture and fixtures",2994,3650,FV,Failed
4781,Rhinelander School District (4781),09,2764,2008-04-01,RR,Recurring Referendum,334000.0,,"operational costs associated with renovations, improvements and/or additions at building locations and operational costs associated with a new multi-purpose facility","Be it resolved by the School Board of the School District of Rhinelander, Oneida, Lincoln and Langlade Counties, Wisconsin, that the revenues included in the School District budget for the 2008-2009 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $334,000 a year for recurring purposes including paying operational costs associated with renovations, improvements and/or additions at Central, Crescent and Pelican Elementary Schools, James Williams Middle School, and Rhinelander High School, and operational costs associated with a new multi-purpose facility.",3029,3618,FV,Failed
4781,Rhinelander School District (4781),09,2765,2008-04-01,ID,Issue Debt,32000000.0,,"remodeling, renovating, improving and/or adding to Central, Crescent and Pelican Elementary schools, James Williams Middle School, and Rhinelander High School; constructing a new multi-purpose facility; and acquiring and installing related equipment, furniture and fixtures","Be it resolved by the School Board of the School District of Rhinelander, Oneida, Lincoln and Langlade Counties, Wisconsin, that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $32,000,000 for the public purpose of paying the cost of remodeling, renovating, improving and/or adding to Central, Crescent and Pelican Elementary Schools, James Williams Middle School, and Rhinelander High School; constructing a new multi-purpose facility; and acquiring and installing related equipment, furniture and fixtures",3077,3612,FV,Failed
4802,Rice Lake Area School District (4802),11,2784,2008-04-01,ID,Issue Debt,29000000.0,,"AUTHORIZING GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $29,000,000.","?BE IT RESOLVED by the School Board of the Rice Lake Area School District, Barron, Rusk and Washburn Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $29,000,000 for the public purpose of paying the cost of acquiring land; constructing a new middle school; remodeling Hilltop Elementary School and Rice Lake Middle School to accommodate elementary students; remodeling, improvement and repair projects at Rice Lake High School; various other remodeling and site improvements at other District buildings and sites; and acquiring furnishings, fixtures and equipment.?",1441,3081,FV,Failed
4904,River Ridge School District (4904),03,2845,2008-04-01,NR,Non-Recurring Referendum,300000.0,"2008-2009  300000.00,2009-2010  400000.00,2010-2011  440000.00,2011-2012  440000.00",for ongoing operational expenses; maintenance & improvement projects; acquiring vehicles & equipment,"BE IT RESOLVED by the School Board of the River Ridge School District, Grant County, Wisconsin, that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $300,000 for the 2008-09 school year, by $400,000 for the 2009-2010 school year, and by $440,000 for the 2010-2011 through 2011-2012 school years, for non-recurring purposes consisting of ongoing operational expenses; maintenance and improvement projects; and acquiring vehicles and equipment.
Adopted and recorded February 13, 2008.",511,444,PV,Passed
4904,River Ridge School District (4904),03,2846,2008-04-01,ID,Issue Debt,165000.0,,for the public purpose of paying the cost of football field replacement,"BE IT RESOLVED by the School Board of the River Ridge School District, Grant County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $165,000 for the public purpose of paying the cost of football field replacement.  Adopted and recorded February 13, 2008.",261,689,FV,Failed
4904,River Ridge School District (4904),03,2847,2008-04-01,ID,Issue Debt,595000.0,,refinancing existing debt,"BE IT RESOLVED by the School Board of the River Ridge School District, Grant County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $595,000 for the public purpose of paying the cost of refinancing existing debt.  Adopted and recorded February 13, 2008.",551,389,PV,Passed
5100,Sauk Prairie School District (5100),05,2930,2008-04-01,ID,Issue Debt,2200000.0,,Purchase property,"BE IT RESOLVED by the School Board of the Sauk Prairie School District, Dane, Columbia, and Sauk Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $2,200,000 for the public purpose of paying the cost of acquiring property.",1227,1057,PV,Passed
5130,Sevastopol School District (5130),07,2941,2008-04-01,NR,Non-Recurring Referendum,600000.0,"2008-2009  600000.00,2009-2010  600000.00,2010-2011  600000.00","To cover capital improvements, maintenance projects, safety upgrades, and instructional needs.","BE IT RESOLVED by the School Board of the School District of Sevastopol, Door County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $600,000 a year in the 2008-2009, 2009-2010 and 2010-2011 school years for non-recurring purposes consisting of capital improvements; maintenance projects; safety upgrades; and instructional needs.",1224,351,PV,Passed
5355,Shorewood School District (5355),01,2998,2008-04-01,ID,Issue Debt,9650000.0,,"To maintain, equip, and remodel district buildings and grounds.","BE IT RESOLVED by the School Board of the School District of Shorewood, Milwaukee County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $9,650,000 for the public purpose of paying the cost of completing the District's five-year maintanance projects; renovation, equipping, and improving existing school facilities and grounds including the high school library and physical education bulding; and maintaining and improving technology in the District. ",2433,1013,PV,Passed
5432,Somerset School District (5432),11,3042,2008-04-01,ID,Issue Debt,35434000.0,,"paying the cost of constructing a new high school facility; upgrading the middle school kitchen and HVAC system; converting existing buildings to accommodate different grade levels; improving sites and roadways; and acquiring equipment, furnishings and fixtures","Be it resolved by the School Board of the School District of Somerset, St. Croix County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $35,434,000 for the public purpose of paying the cost of constructing a new high school facility; upgrading the middle school kitchen and HVAC system; converting existing buildings to accommodate different grade levels; improving sites and roadways; and acquiring equipment, furnishings and fixtures",468,1466,FV,Failed
5614,Stockbridge School District (5614),07,3166,2008-04-01,NR,Non-Recurring Referendum,200000.0,"2008-2009  200000.00,2009-2010  200000.00,2010-2011  200000.00","To exceed the revenue limit on a non-recurring basis in the amount of $200,000 each year for 3 years","Be it resolved by the Board of Education of the Stockbridge School District, Calumet County, Wisconsin, (the ""District"") that pursuant to 121.91(3) of the Wisconsin Statutes, the District exceed the revenue limit established under Section 121.91(2m) of the Wisconsin Statutes on a non-recurring basis in the amount of $200,000 annually for the school years 2008-2009, 2009-2010, and 2010-2011 in a total amount of $600,000 over the three school years for the purposes of capital improvements, including general building and grounds maintenance costs, roof and parking lot repair, soundproofing for the high school gym and an environmental control system for the elementary/middle school gym; purchasing technology equipment to include new computers for student use, together with software licenses and systems; and such other capital and operational needs of the school district as determined by the school board from time to time.",343,274,PV,Passed
5614,Stockbridge School District (5614),07,3167,2008-04-01,ID,Issue Debt,272000.0,,"Initial resolution authorizing the Stockbridge School District to issue general obligation bonds in a principal amount not to exceed $272,000","Be it resolved by the Board of Education of the Stockbridge School District, Calumet County, Wisconsin, (the ""District"") that the District shall issue General Obligation Bonds (the ""Bonds"") in a principal amount not to exceed $272,000 for the purpose of paying unfunded statutory liability of the District to the Wisconsin Retirement System retirement fund; and the payment of related fees and cost of issueing the Bonds (the ""Purpose"").",333,265,PV,Passed
6027,Washburn School District (6027),12,3399,2008-04-01,RR,Recurring Referendum,900000.0,,operating and maintenance costs,"Be it resolved by the school board of the School District of Washburn, Bayfield County, Wisconsin, that the final school district budget beginning with the 2008-2009 school year shall include, on a recurring basis, an amount of $900,000 in excess of the revenue limits imposed by Section 121.91(2m) of the Wisconsin Statutes in order to pay for operating and maintenance costs",669,1115,FV,Failed
6069,Washington Island School District (6069),07,3410,2008-04-01,NR,Non-Recurring Referendum,15000.0,"2008-2009  15000.00,2009-2010  15000.00,2010-2011  15000.00,2011-2012  15000.00,2012-2013  15000.00",providing funds for roof replacement,"Be it resolved by the School Board of the School District of Washington, Door County, Wisconsin, that the final school district budget beginning with the 2008-09 school year through the 2012-13 school year shall include on a nonrecurring basis, an amount of $15,000 in excess of the revenue limits imposed by Section 121.91(2m) of the Wisconsin Statutes for the pupose of providing funds for roof replacement",286,129,PV,Passed
6069,Washington Island School District (6069),07,3411,2008-04-01,NR,Non-Recurring Referendum,255000.0,,district operating expenses for 2008-09 year,"Be it resolved by the School Board of the School District of Washington, Door County, Wisconsin, that the final school district budget for the 2008-09 school year shall include, on a nonrecurring basis, an amount of $255,000 in excess of the revenue limits imposed by Section 121.91(2m) of the Wisconsin Statutes for the purpose of paying the cost of district operating expenses.",219,201,PV,Passed
6216,Waupun School District (6216),06,3518,2008-04-01,NR,Non-Recurring Referendum,1480000.0,"2008-2009  1480000.00,2009-2010  2150000.00,2010-2011  2790000.00,2011-2012  3580000.00",general operation and maintenance expenses including installing security systems and repair projects at various District buildings,"Be it resolved by the School Board of the Waupun Area School District, Dodge and Fond du Lac Counties, Wisconsin, that the revenue included in the School District budget be authorized to exceed the revenue limit as specified in Section 121.91, Wisconsin Statutes for four years, beginning with the 2008-2009 school year by $1,480,000; for the 2009-2010 school year by $2,150,000; for the 2010-2011 school year by $2,790,000 and for the 2011-2012 school year by $3,580,000 for non-recurring purposes consisting of general operation and maintenance expenses including installing security systems and repair projects at various District buildings",1981,2570,FV,Failed
