AgencyCode,AgencyName,Cesa,ReferendumId,VoteDate,ReferendumTypeCode,ReferendumType,Amount,AnnualAmount,BriefDescription,FullDescription,YesVotes,NoVotes,ReferendumStatusCode,ReferendumStatus
0217,Augusta School District (0217),10,159,2022-11-08,ID,Issue Debt,10500000.0,,"school facility improvement projects consisting of: construction of additions and renovations at the Elementary and Middle/High school, district-wide capital maintenance, building infrastructure, safety and sit improvements and furnishings, fixtures, and equipment","BE IT RESOLVED by the School Board of the School
District of Augusta, Eau Claire County, Wisconsin that there shall
be issued pursuant to Chapter 67 of the Wisconsin Statutes, general
obligation bonds in an amount not to exceed $10,500,000 for the
public purpose of paying the cost of a school facility improvement
project consisting of: construction of additions and renovations at
the Elementary School and the Middle/High School; district-wide
capital maintenance, building infrastructure, safety and site
improvements; and acquisition of furnishings, fixtures and
equipment.",1000,520,PV,Passed
0217,Augusta School District (0217),10,160,2022-11-08,ID,Issue Debt,4500000.0,,Construction of an addition for and equipping of a new gymnasium and related facility renovations and improvements at the Elementary school.,"BE IT RESOLVED by the School Board of the School
District of Augusta, Eau Claire County, Wisconsin that there shall
be issued pursuant to Chapter 67 of the Wisconsin Statutes, general
obligation bonds in an amount not to exceed $4,500,000 for the
public purpose of paying the cost of the construction of an addition
for and equipping of a new gymnasium and related facility
renovations and improvements at the Elementary School.",938,573,PV,Passed
0245,Bangor School District (0245),04,183,2022-11-08,ID,Issue Debt,24000000.0,,Capital Referendum,"BE IT RESOLVED by the School Board of the School District of Bangor, La Crosse and Monroe Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $24,000,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of additions and renovations at the Elementary School, Middle/High School and Old School Gym; district-wide capital maintenance, building infrastructure, safety, security and site improvements; and acquisition of furnishings, fixtures and equipment.",1215,635,PV,Passed
0350,Belleville School District (0350),02,215,2022-11-08,RR,Recurring Referendum,999999.0,2022-2023  999999.00,"To exceed the revenue limit by $999,999 beginning with the 2022-2023 school year, for recurring purposes consisting of operational and maintenance expenses.","BE IT RESOLVED by the School Board of the School District of Belleville, Dane and Green Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $999,999 beginning with the 2022-2023 school year, for recurring purposes consisting of operational and maintenance expenses.",1897,1240,PV,Passed
1120,Clayton School District (1120),11,481,2022-11-08,RR,Recurring Referendum,1545000.0,2022-2023  1545000.00,Budget to exceed revenue cap for recurring purposes consisting of operational expenses.,"BE IT RESOLVED by the School Board of the Clayton School District, Polk and Barron Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,545,000 beginning with the 2022-2023 school year, for recurring purposes consisting of operational expenses.",396,381,PV,Passed
1246,Cuba City School District (1246),03,572,2022-11-08,RR,Recurring Referendum,200000.0,2023-2024  200000.00,Recurring Referendum,"BE IT RESOLVED by the School Board of the School District of Cuba City, Grant and Lafayette Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $200,000 beginning with the 2023-2024 school year, for recurring purposes consisting of operational and maintenance expenses.",1394,851,PV,Passed
1246,Cuba City School District (1246),03,573,2022-11-08,ID,Issue Debt,26850000.0,,Capital referendum for building and remodeling,"BE IT RESOLVED by the School Board of the School District of Cuba City, Grant and Lafayette Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $26,850,000 for the public purpose of paying the cost of a district-wide school facility improvement project consisting of: building infrastructure and capital maintenance improvements, construction of an addition, including for a fitness center, a multipurpose room, and a gymnasium, and renovations at the Middle/High School; building infrastructure, capital maintenance and site improvements at the Elementary School; and acquisition of furnishings, fixtures, and equipment.",1266,979,PV,Passed
1380,Delavan-Darien School District (1380),02,651,2022-11-08,NR,Non-Recurring Referendum,17878711.0,"2024-2025  3454085.00,2025-2026  3424085.00,2026-2027  3800000.00,2023-2024  3400541.00","4 Year Non-Recurring Operational Referendum to exceed revenue cap by $3,800,000 beginning in 2023-2024 and ending in 2026-2027","BE IT RESOLVED BE IT RESOLVED by the School Board of the School District of Delavan-Darien,
Walworth and Rock Counties, Wisconsin that the revenues included in the School District
budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes,
by $3,800,000 per year beginning with the 2023-2024 school year and ending with the 2026-
2027 school year, for non-recurring purposes consisting of operational costs to maintain class
sizes, employ School Resource Officers, and support curriculum and instruction.",3165,3069,PV,Passed
1407,Denmark School District (1407),07,674,2022-11-08,ID,Issue Debt,31000000.0,,"INITIAL RESOLUTION AUTHORIZING
GENERAL OBLIGATION BONDS IN AN
AMOUNT NOT TO EXCEED $31,000,000","BE IT RESOLVED by the School Board of the School District of Denmark, Brown,
Manitowoc and Kewaunee Counties, Wisconsin that there shall be issued pursuant to Chapter 67
of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $31,000,000 for
the public purpose of paying the cost of a school building and facility improvement project
consisting of: construction of an addition and renovations at the Elementary School, including
an early childhood center, cafeteria, gymnasium and secure entrance; site improvements;
possible removal of the current early childhood center; and acquisition of furnishings, fixtures
and equipment.
Adopted and recorded August 15, 2022.",2623,1667,PV,Passed
1407,Denmark School District (1407),07,675,2022-11-08,NR,Non-Recurring Referendum,2775000.0,"2023-2024  925000.00,2024-2025  925000.00,2025-2026  925000.00","RESOLUTION AUTHORIZING THE SCHOOL 
DISTRICT BUDGET TO EXCEED REVENUE LIMIT 
BY $925,000 PER YEAR FOR THREE YEARS 
FOR NON-RECURRING PURPOSES","BE IT RESOLVED by the School Board of the School District of Denmark, Brown, Manitowoc and Kewaunee Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $925,000 per year beginning with the 2023-2024 school year and ending with the 2025-2026 school year, for non-recurring purposes consisting of operating expenses, including ongoing educational programming and maintenance, transportation and technology.

Adopted and recorded August 15, 2022.",2583,1728,PV,Passed
