measure_class,dor_code,municipality,fiscal_year,vote_date,description,department,amount,result,votes_yes,votes_no
debt_exclusion,261,Sandwich,1990,1983-09-01,Library,Culture and Recreation,,Pass,649,354
debt_exclusion,018,Avon,1990,1983-11-01,Water,Public Works and Facilities,,Pass,289,72
debt_exclusion,157,Lincoln,1990,1983-11-01,Land,General Government,,Pass,321,38
debt_exclusion,157,Lincoln,1993,1983-11-01,Const,General Government,,Pass,301,55
debt_exclusion,224,Orleans,2000,1983-12-01,Constr/Septage/Treatmt Plant,Public Works and Facilities,,Pass,483,116
debt_exclusion,233,Peru,1990,1984-02-01,Dump Truck,Public Works and Facilities,,Pass,38,2
debt_exclusion,051,Carlisle,1990,1984-03-01,School Roof Repairs,School,,Pass,322,69
debt_exclusion,157,Lincoln,1990,1984-03-01,Land,General Government,,Pass,586,219
debt_exclusion,167,Mansfield,1990,1984-03-01,Schools,School,,Pass,583,433
debt_exclusion,343,Winchendon,1990,1984-03-01,Grader,Public Works and Facilities,,Pass,537,484
debt_exclusion,343,Winchendon,1990,1984-03-01,Fire/Truck,Public Safety,,Pass,583,456
debt_exclusion,343,Winchendon,1990,1984-03-01,School Roof,School,,Pass,631,401
debt_exclusion,052,Carver,1990,1984-04-01,Pre-Debt,Pre-Proposition 2 1/2 Debt,,Pass,475,442
debt_exclusion,069,Cummington,1990,1984-04-01,Highway,Public Works and Facilities,,Pass,115,37
debt_exclusion,089,Edgartown,2000,1984-04-01,Pre-Debt/Sewer Project,Pre-Proposition 2 1/2 Debt,,Pass,496,146
debt_exclusion,089,Edgartown,2001,1984-04-01,Extend Sewer Sy/Septg/Odor Control,Public Works and Facilities,,Pass,507,146
debt_exclusion,136,Holliston,1990,1984-04-01,Library,Culture and Recreation,,Pass,749,675
debt_exclusion,197,Nantucket,1990,1984-04-01,Multiple,General Operating,,Pass,1223,898
debt_exclusion,221,Oak Bluffs,1990,1984-04-01,Multiple,General Operating,,Pass,350,330
debt_exclusion,318,Wellfleet,1990,1984-04-01,Police/Fire,Public Safety,,Pass,603,288
debt_exclusion,332,Westminster,1992,1984-04-01,Schools,School,,Pass,748,277
debt_exclusion,342,Wilmington,1990,1984-04-01,Schools,School,,Pass,1978,1599
debt_exclusion,088,Easton,2019,1984-04-23,Bond Indebtedness,General Government,,Fail,360,609
debt_exclusion,088,Easton,2019,1984-04-23,Bonds For Police Station Addition,General Government,,Fail,353,624
debt_exclusion,041,Brewster,1994,1984-05-01,Pre-Debt,Pre-Proposition 2 1/2 Debt,,Pass,329,300
debt_exclusion,055,Chatham,2000,1984-05-01,Water/Purchase Water Co.,Public Works and Facilities,,Pass,1020,574
debt_exclusion,099,Foxborough,1990,1984-05-01,Street,Public Works and Facilities,,Pass,1059,780
debt_exclusion,140,Hubbardston,1990,1984-05-01,Office Renovations,General Government,,Pass,160,111
debt_exclusion,145,Kingston,1990,1984-05-01,Police,Public Safety,,Pass,687,390
debt_exclusion,145,Kingston,1990,1984-05-01,Sewers,Public Works and Facilities,,Pass,634,434
debt_exclusion,162,Lunenburg,1990,1984-05-01,Fire,Public Safety,,Pass,244,119
debt_exclusion,187,Millis,2000,1984-05-01,Land,General Government,,Pass,861,530
debt_exclusion,208,Norfolk,1990,1984-05-01,Multiple,General Operating,,Pass,920,354
debt_exclusion,208,Norfolk,1990,1984-05-01,Water,Public Works and Facilities,,Pass,892,376
debt_exclusion,224,Orleans,1990,1984-05-01,Expansion Of Water System,Public Works and Facilities,,Pass,1347,547
debt_exclusion,225,Otis,1990,1984-05-01,Dump Truck,Public Works and Facilities,,Pass,158,38
debt_exclusion,241,Princeton,1990,1984-05-01,Pre-Debt,Pre-Proposition 2 1/2 Debt,,Pass,339,151
debt_exclusion,254,Rowley,1990,1984-05-01,Police,Public Safety,,Pass,360,308
debt_exclusion,271,Shrewsbury,1991,1984-05-01,Schools,School,,Pass,1189,824
debt_exclusion,286,Stow,1990,1984-05-01,Highway,Public Works and Facilities,,Pass,805,462
debt_exclusion,286,Stow,1990,1984-05-01,Highway,Public Works and Facilities,,Pass,757,514
debt_exclusion,333,Weston,2000,1984-05-01,Water,Public Works and Facilities,,Pass,586,140
debt_exclusion,338,Whitman,2000,1984-05-01,Sewers,Public Works and Facilities,,Pass,953,875
debt_exclusion,126,Harwich,1990,1984-06-01,Land,General Government,,Pass,1141,806
debt_exclusion,126,Harwich,1990,1984-06-01,Water,Public Works and Facilities,,Pass,1478,474
debt_exclusion,235,Phillipston,1990,1984-06-01,Fire,Public Safety,,Pass,112,81
debt_exclusion,239,Plymouth,1990,1984-06-01,Water,Public Works and Facilities,,Pass,4005,2027
debt_exclusion,239,Plymouth,2000,1984-07-01,Regional High School,School,,Pass,2039,729
debt_exclusion,031,Billerica,2000,1984-09-01,Multiple,General Operating,,Pass,1469,1250
debt_exclusion,015,Athol,2000,1984-11-01,Fire,Public Safety,,Pass,2352,1405
