"governmentname","governmenttype","county","electiondate","amount","purpose","purposedescription","propnumber","votesfor","votesagainst","result","source"
"Hamilton ISD","ISD","Hamilton","2019-11-05T00:00:00.000","24800000","Building","School  Building","1","214","877","Defeated","TBR"
"Forney ISD","ISD","Kaufman","2019-11-05T00:00:00.000","623000000","Building","School  Building","1","3352","1255","Carried","TBR"
"Harris County MUD 540","WD","Harris","2019-11-05T00:00:00.000","215000000","Other","Water, Sewer, Drainage and Refunding","A","2","0","Carried","TBR"
"Alto ISD","ISD","Cherokee","2019-11-05T00:00:00.000","10500000","Building","School Building & Gymnasium","1","402","212","Carried","TBR"
"Midway ISDb","ISD","McLennan","2019-11-05T00:00:00.000","148000000","Building","School Building & Technology","1","4415","2326","Carried","TBR"
"Harris County MUD 565","WD","Harris","2019-11-05T00:00:00.000","40000000","Other","Road","C","2","0","Carried","TBR"
"Kaufman County","COUNTY","Kaufman","2019-11-05T00:00:00.000","50000000","Building","Justice Center","2","7304","4110","Carried","TBR"
"Ovilla","CITY","Ellis","2019-11-05T00:00:00.000","2900000","Building","City Hall","1","18","25","Defeated","TBR"
"Wilbarger Creek MUD 2","WD","Travis","2019-11-05T00:00:00.000","66600000","Refund","Refund","2","1","0","Carried","TBR"
"Hallsville ISD","ISD","Harrison","2019-11-05T00:00:00.000","55000000","Building","School Building & Security","1","1386","1174","Carried","TBR"
"Denison ISD","ISD","Grayson","2019-11-05T00:00:00.000","20850000","Building","School Building & Technology","1","1658","1380","Carried","TBR"
"Fort Stockton ISD","ISD","Pecos","2019-11-05T00:00:00.000","85000000","Building","School  Building","1","627","650","Defeated","TBR"
"Tarrant County College District","CCD","Tarrant","2019-11-05T00:00:00.000","825000000","Building","College Facilities","1","77953","51489","Carried","TBR"
"Fort Bend County MUD 047","WD","Fort Bend","2019-11-05T00:00:00.000","27000000","Other","Water, Sewer & Drainage","1","154","60","Carried","TBR"
"Sunray ISD","ISD","Moore","2019-11-05T00:00:00.000","9500000","Building","School  Building","1","167","166","Carried","TBR"
"Travis County WCID-Point Venture","WD","Travis","2019-11-05T00:00:00.000","14500000","Other","Water, Sewer & Drainage","1","159","112","Carried","TBR"
"Lovelady ISD","ISD","Houston","2019-11-05T00:00:00.000","7500000","Building","School  Building","1","1","0","Carried","TBR"
"Harris County MUD 518","WD","Harris","2019-11-05T00:00:00.000","46200000","Other","Parks and Recreation and Refunding","B","2","0","Carried","TBR"
"Denton","CITY","Denton","2019-11-05T00:00:00.000","61900000","Building","Public Safety Facilities","2","6697","3590","Carried","TBR"
"Harris County MUD 565","WD","Harris","2019-11-05T00:00:00.000","255810000","Other","Water, Sewer, & Drainage","A","2","0","Carried","TBR"
"McLennan County","COUNTY","McLennan","2019-11-05T00:00:00.000","14545000","Other","Zoo","1","13191","6717","Carried","TBR"
"Lower Valley WD","WD","El Paso","2019-11-05T00:00:00.000","27500000","Other","Water, Sewer & Drainage","1","594","365","Carried","TBR"
"Harris County MUD 540","WD","Harris","2019-11-05T00:00:00.000","30000000","Other","Parks and Recreation and Refunding","B","2","2","Carried","TBR"
"Hillsboro ISD","ISD","Hill","2019-11-05T00:00:00.000","29800000","Building","School  Building","1","900","651","Carried","TBR"
"Sugar Land","CITY","Fort Bend","2019-11-05T00:00:00.000","6600000","Programs","Animal Care & Control","4","5893","3918","Carried","TBR"
"Camp County","COUNTY","Camp","2019-11-05T00:00:00.000","14000000","Building","Justice Center","1","715","795","Defeated","TBR"
"Harris County MUD 565","WD","Harris","2019-11-05T00:00:00.000","16000000","Refund","Roads and Refunding","D","2","0","Carried","TBR"
"Somerset ISD","ISD","Bexar","2019-11-05T00:00:00.000","20000000","Building","School Building & Security","1","288","201","Carried","TBR"
"Plainview ISD","ISD","Hale","2019-11-05T00:00:00.000","76620000","Building","School  Building","1","1603","1036","Carried","TBR"
"Ovilla","CITY","Ellis","2019-11-05T00:00:00.000","130000","Building","Community Center","2","20","23","Defeated","TBR"
"Harris County WCID 113","WD","Harris","2019-11-05T00:00:00.000","25000000","Other","Water, Sewer & Drainage","A","107","36","Carried","TBR"
"Ovilla","CITY","Ellis","2019-11-05T00:00:00.000","2200000","Building","Public Safety Facilities","3","19","24","Defeated","TBR"
"Harris County MUD 565","WD","Harris","2019-11-05T00:00:00.000","20410000","Other","Parks & Recreation","E","2","0","Carried","TBR"
"Harris County MUD 180","WD","Harris","2019-11-05T00:00:00.000","45700000","Other","Water, Sewer, & Drainage","A","138","68","Carried","TBR"
"Harris County MUD 565","WD","Harris","2019-11-05T00:00:00.000","8165000","Refund","Parks & Recreation Refunding","F","2","0","Carried","TBR"
"Joshua","CITY","Johnson","2019-11-05T00:00:00.000","3905000","Other","Street & Drainage","1","274","194","Carried","TBR"
"Harris County MUD 033","WD","Harris","2019-11-05T00:00:00.000","12000000","Refund","Refund","A","164","38","Carried","TBR"
"Harris County MUD 540","WD","Harris","2019-11-05T00:00:00.000","35000000","Other","Roads and Refunding","C","2","0","Carried","TBR"
"Covington ISD","ISD","Hill","2019-11-05T00:00:00.000","5750000","Building","School  Building","1","122","254","Defeated","TBR"
"Bellevue ISD","ISD","Clay","2019-11-05T00:00:00.000","4500000","Building","School  Building","1","147","47","Carried","TBR"
"Harris County MUD 165","WD","Harris","2019-11-05T00:00:00.000","210689000","Other","Water, Sewer, & Drainage","A","618","499","Carried","TBR"
"Denton","CITY","Denton","2019-11-05T00:00:00.000","619000","Other","Art Project","4","5008","5320","Defeated","TBR"
"Dime Box ISD","ISD","Lee","2019-11-05T00:00:00.000","3000000","Building","SchoolBuildingAthleticImprovements","1","94","78","Carried","TBR"
"El Paso","CITY","El Paso","2019-11-05T00:00:00.000","413122650","Building","Public Safety Facilities","1","18690","12791","Carried","TBR"
"Keller ISD","ISD","Tarrant","2019-11-05T00:00:00.000","315000000","Building","School Building & Security","1","9384","8169","Carried","TBR"
"Galveston County MUD 59","WD","Galveston","2019-11-05T00:00:00.000","90620000","Other","Parks & Recreation","2","2","0","Carried","TBR"
"Darrouzett ISD","ISD","Lipscomb","2019-11-05T00:00:00.000","2000000","Building","School Building & Buses","1","93","73","Carried","TBR"
"Alvarado ISD","ISD","Johnson","2019-11-05T00:00:00.000","11150000","Building","School  Building","1","739","512","Carried","TBR"
"Sabine Pass ISD","ISD","Jefferson","2019-11-05T00:00:00.000","150000000","Building","School Building, Buses & Technology","1","59","33","Carried","TBR"
"Galveston County MUD 59","WD","Galveston","2019-11-05T00:00:00.000","302910000","Other","Water, Sewer, & Drainage","1","2","0","Carried","TBR"
"Williamson County","COUNTY","Williamson","2019-11-05T00:00:00.000","35000000","Other","Parks & Rec","2","28954","19979","Carried","TBR"
"Water Valley ISD","ISD","Tom Green","2019-11-05T00:00:00.000","16000000","Building","School  Building","1","177","99","Carried","TBR"
"Comfort ISD","ISD","Kendall","2019-11-05T00:00:00.000","37700000","Building","School  Building","1","691","478","Carried","TBR"
"Arlington ISD","ISD","Tarrant","2019-11-05T00:00:00.000","966000000","Building","School Building & Buses","1","14388","7225","Carried","TBR"
"Fort Bend County MUD 162","WD","Fort Bend","2019-11-05T00:00:00.000","70000000","Other","Water, Sewer & Drainage","1","78","33","Carried","TBR"
"Denton","CITY","Denton","2019-11-05T00:00:00.000","154000000","Other","Street & Drainage","1","7704","2572","Carried","TBR"
"Grand Lakes MUD 4","WD","Fort Bend","2019-11-05T00:00:00.000","26648000","Other","Water, Sewer & Drainage","1","225","239","Defeated","TBR"
"Aledo ISD","ISD","Parker","2019-11-05T00:00:00.000","149950000","Other","School Building & Buses","1","3876","2401","Carried","TBR"
"Hill Country Village","CITY","Bexar","2019-11-05T00:00:00.000","8500000","Other","Street & Drainage","1","244","61","Carried","TBR"
"Iraan-Sheffield ISD","ISD","Pecos","2019-11-05T00:00:00.000","1900000","Refund","Refund","1","174","103","Carried","TBR"
"Columbia-Brazoria ISD","ISD","Brazoria","2019-11-05T00:00:00.000","11500000","Building","School  Building","1","1281","883","Carried","TBR"
"Ovilla","CITY","Ellis","2019-11-05T00:00:00.000","130000","Other","Public Works","4","19","24","Defeated","TBR"
"Metropolitan Transit Auth of Harris Co","OSD","Harris","2019-11-05T00:00:00.000","3500000000","Other","Transit System","A","222863","105576","Carried","TBR"
"Cleveland ISD","ISD","Liberty","2019-11-05T00:00:00.000","198000000","Building","School Building, Atheltics, Renovations","1","715","611","Carried","TBR"
"Van Alstyne MUD 1","WD","Grayson","2019-11-05T00:00:00.000","284000000","Other","Road","B","2","0","Carried","TBR"
"Spring Meadows MUD","WD","Harris","2019-11-05T00:00:00.000","47000000","Other","Water, Sewer & Drainage","A","74","59","Carried","TBR"
"Van Alstyne MUD 1","WD","Grayson","2019-11-05T00:00:00.000","555000000","Refund","Water, Sewer, Drainage, & Refunding","C","2","0","Carried","TBR"
"West Travis County MUD 07","WD","Travis","2019-11-05T00:00:00.000","31500000","Other","Water, Sewer & Drainage","C","1","0","Carried","TBR"
"Williamson County MUD 29","WD","Williamson","2019-11-05T00:00:00.000","79115000","Other","Parks and Recreation and Refunding","B","1","0","Carried","TBR"
"Van Alstyne MUD 1","WD","Grayson","2019-11-05T00:00:00.000","426000000","Refund","Road & Refunding Roads","D","2","0","Carried","TBR"
"Westlake MUD 1","WD","Harris","2019-11-05T00:00:00.000","17000000","Other","Water, Sewer & Drainage","A","126","86","Carried","TBR"
"Williamson County MUD 29","WD","Williamson","2019-11-05T00:00:00.000","141025000","Other","Roads & Refunding Roads","C","1","0","Carried","TBR"
"West Travis County MUD 07","WD","Travis","2019-11-05T00:00:00.000","2100000","Other","Parks & Rec","D","1","0","Carried","TBR"
"Williamson County MUD 29","WD","Williamson","2019-11-05T00:00:00.000","160800000","Other","Water, Sewer, Drainage, & Refunding","A","1","0","Carried","TBR"
"Van Alstyne MUD 1","WD","Grayson","2019-11-05T00:00:00.000","370000000","Other","Utility","A","2","0","Carried","TBR"
"West Travis County MUD 07","WD","Travis","2019-11-05T00:00:00.000","50400000","Refund","Refund","E","1","0","Carried","TBR"
"Burnet CISD","ISD","Burnet","2019-11-05T00:00:00.000","33100000","Building","School  Building","1","1290","1444","Defeated","TBR"
"Coupland ISD","ISD","Williamson-Travis","2019-11-05T00:00:00.000","5000000","Building","School Building & Gymnasium","1","124","72","Carried","TBR"
"Conroe ISD","ISD","Montgomery","2019-11-05T00:00:00.000","23800000","Other","Athletic Renovations","1.2","14886","20942","Defeated","TBR"
"Fort Bend County MUD 225","WD","Fort Bend","2019-11-05T00:00:00.000","7000000","Other","Road","C","2","0","Carried","TBR"
"Brickston MUD","WD","Travis","2019-11-05T00:00:00.000","26121000","Refund","Parks & Recreation Refunding","H","1","0","Carried","TBR"
"Fort Bend County MUD 225","WD","Fort Bend","2019-11-05T00:00:00.000","40000000","Other","Road","B","2","0","Carried","TBR"
"Fort Bend County MUD 225","WD","Fort Bend","2019-11-05T00:00:00.000","90000000","Other","Road","A","2","0","Carried","TBR"
"Deaf Smith County","COUNTY","Deaf Smith","2019-11-05T00:00:00.000","36200000","Programs","Jail","A","1","0","Carried","TBR"
"Collin County MUD 02","WD","Collin","2019-11-05T00:00:00.000","306630740","Other","Roads, Refunding","B","1","0","Carried","TBR"
"Brickston MUD","WD","Travis","2019-11-05T00:00:00.000","186953000","Other","Utility","C","1","0","Carried","TBR"
"Brickston MUD","WD","Travis","2019-11-05T00:00:00.000","111100000","Refund","Roads, Refunding","F","1","0","Carried","TBR"
"Addison","CITY","Dallas","2019-11-05T00:00:00.000","22300000","Other","Road","A","705","510","Carried","TBR"
"Brickston MUD","WD","Travis","2019-11-05T00:00:00.000","96608000","Other","Road","E","1","0","Carried","TBR"
"Brickston MUD","WD","Travis","2019-11-05T00:00:00.000","22714000","Other","Parks & Recreation","G","1","0","Carried","TBR"
"Fort Bend County DD","WD","Fort Bend","2019-11-05T00:00:00.000","83000000","Other","Flood Control","A","45129","20140","Carried","TBR"
"Addison","CITY","Dallas","2019-11-05T00:00:00.000","7395000","Building","Public Facility","D","757","457","Carried","TBR"
"Collin County MUD 02","WD","Collin","2019-11-05T00:00:00.000","204420493","Other","Road","A","1","0","Carried","TBR"
"Big Sky MUD","WD","Denton","2019-11-05T00:00:00.000","21454411","Other","Fire Imprs","E","1","0","Carried","TBR"
"Brickston MUD","WD","Travis","2019-11-05T00:00:00.000","214996000","Refund","Utility","D","1","0","Carried","TBR"
"Big Sky MUD","WD","Denton","2019-11-05T00:00:00.000","133084000","Other","Water, Sewer & Drainage","A","1","0","Carried","TBR"
"Addison","CITY","Dallas","2019-11-05T00:00:00.000","600000","Building","Traffic Imprs","E","812","399","Carried","TBR"
"Fort Bend County MUD 024","WD","Fort Bend","2019-11-05T00:00:00.000","17380000","Other","Road","1","69","54","Carried","TBR"
"Addison","CITY","Dallas","2019-11-05T00:00:00.000","33602000","Other","Street & Drainage","B","696","515","Carried","TBR"
"Big Sky MUD","WD","Denton","2019-11-05T00:00:00.000","32181616","Refund","Fire Station Improvements","F","1","0","Carried","TBR"
"Big Sky MUD","WD","Denton","2019-11-05T00:00:00.000","97203000","Other","Roads, Refunding","D","1","0","Carried","TBR"
"Big Sky MUD","WD","Denton","2019-11-05T00:00:00.000","64802000","Other","Road","C","1","0","Carried","TBR"
"Santa Maria ISD","ISD","Cameron","2019-11-05T00:00:00.000","3500000","Building","School Building & Buses","1","41","61","Defeated","TBR"
"Lockhart ISD","ISD","Caldwell","2019-11-05T00:00:00.000","92350135","Building","School  Building","1","1340","1632","Defeated","TBR"
"Addison","CITY","Dallas","2019-11-05T00:00:00.000","6723002","Other","Parks & Recreation","C","825","389","Carried","TBR"
"Fort Bend County MUD 233","WD","Fort Bend","2019-11-05T00:00:00.000","240000000","Other","Utility","A","2","0","Carried","TBR"
"Friendswood","CITY","Galveston","2019-11-05T00:00:00.000","41000000","Other","Drainage","F","2954","1398","Carried","TBR"
"Friendswood","CITY","Galveston","2019-11-05T00:00:00.000","7600000","Other","Streets & Roads","D","2028","2313","Defeated","TBR"
"Fort Bend County MUD 233","WD","Fort Bend","2019-11-05T00:00:00.000","63000000","Refund","Roads, Refunding","D","2","0","Carried","TBR"
"Fort Bend County MUD 233","WD","Fort Bend","2019-11-05T00:00:00.000","360000000","Refund","Utility","B","2","0","Carried","TBR"
"Katy Management District 1","WD","Fort Bend, Harris","2019-11-05T00:00:00.000","25000000","Other","Road","C","1","0","Carried","TBR"
"Pearsall ISD","ISD","Frio","2019-11-05T00:00:00.000","12200000","Building","School  Building","A","289","241","Carried","TBR"
"Friendswood","CITY","Galveston","2019-11-05T00:00:00.000","9100000","Other","Public Safety","B","2394","1959","Carried","TBR"
"Fort Bend County MUD 233","WD","Fort Bend","2019-11-05T00:00:00.000","12000000","Other","Parks & Recreation","E","2","0","Carried","TBR"
"Friendswood","CITY","Galveston","2019-11-05T00:00:00.000","8000000","Other","Parks & Rec","E","2121","2206","Defeated","TBR"
"Friendswood","CITY","Galveston","2019-11-05T00:00:00.000","2000000","Other","Public Works","A","2202","2137","Carried","TBR"
"Fort Bend County MUD 233","WD","Fort Bend","2019-11-05T00:00:00.000","42000000","Other","Road","C","2","0","Carried","TBR"
"Katy Management District 1","WD","Fort Bend, Harris","2019-11-05T00:00:00.000","25000000","Other","Recreation","B","1","0","Carried","TBR"
"Fort Bend County MUD 233","WD","Fort Bend","2019-11-05T00:00:00.000","18000000","Refund","Parks & Recreation Refunding","F","2","0","Carried","TBR"
"Friendswood","CITY","Galveston","2019-11-05T00:00:00.000","9000000","Building","Community Center","C","1705","2617","Defeated","TBR"
"Katy Management District 1","WD","Fort Bend, Harris","2019-11-05T00:00:00.000","20000000","Other","Water, Sewer & Drainage","A","1","0","Carried","TBR"
"Galveston County WCID 08","WD","Galveston","2019-11-05T00:00:00.000","8500000","Other","Water, Sewer, Drainage, & Refunding","A","180","107","Carried","TBR"
"Big Sky MUD","WD","Denton","2019-11-05T00:00:00.000","199626000","Other","Water, Sewer, Drainage, & Refunding","B","1","0","Carried","TBR"
"Harris County MUD 518","WD","Harris","2019-11-05T00:00:00.000","185000000","Other","Water, Sewer, Drainage, & Refunding","A","2","0","Carried","TBR"
"Harris County MUD 565","WD","Harris","2019-11-05T00:00:00.000","102325000","Refund","Water, Sewer, Drainage, & Refunding","B","2","0","Carried","TBR"
"Galveston County WCID 08","WD","Galveston","2019-11-05T00:00:00.000","15000000","Other","Water, Sewer, Drainage, & Refunding","B","151","134","Carried","TBR"
"Conroe ISD","ISD","Montgomery","2019-11-05T00:00:00.000","653570000","Building","School Building & Security","1.1","20152","15804","Carried","TBR"
"Northlake MMD 2","WD","Denton","2019-11-05T00:00:00.000","218792253","Refund","Roads, Refunding","B","2","0","Carried","TBR"
"Karis MMD","WD","Tarrant","2019-11-05T00:00:00.000","115995000","Other","Water, Sewer & Drainage","2","1","0","Carried","TBR"
"Karis MMD","WD","Tarrant","2019-11-05T00:00:00.000","112665000","Refund","Roads and Refunding","5","1","0","Carried","TBR"
"Northlake MMD 2","WD","Denton","2019-11-05T00:00:00.000","239522703","Other","Utility","C","2","0","Carried","TBR"
"Karis MMD","WD","Tarrant","2019-11-05T00:00:00.000","115995000","Refund","Water, Sewer, Drainage, & Refunding","4","1","0","Carried","TBR"
"Karis MMD","WD","Tarrant","2019-11-05T00:00:00.000","112665000","Other","Road","3","1","0","Carried","TBR"
"Northlake MMD 2","WD","Denton","2019-11-05T00:00:00.000","145861502","Other","Road","A","2","0","Carried","TBR"
"Northlake MMD 2","WD","Denton","2019-11-05T00:00:00.000","359284054","Refund","Utility","D","2","0","Carried","TBR"
"Broaddus ISD","ISD","San Augustine","2020-05-02T00:00:00.000","11000000","Building","School Building & Gymnasium","1","0","0","Cancelled","TBR"
"Comal ISD","ISD","Comal, Bexar, Guadalupe, Hays & Kendall","2020-05-02T00:00:00.000","10400000","Other","Technology","4","0","0","Cancelled","TBR"
"Garrison ISD","ISD","Nacogdoches","2020-05-02T00:00:00.000","12000000","Building","School  Building","1","0","0","Cancelled","TBR"
"San Diego ISD","ISD","Duval","2020-05-02T00:00:00.000","2200000","Renovations","Athletic Facility Improvements","3","223","118","Carried","TBR"
"Comal ISD","ISD","Comal, Bexar, Guadalupe, Hays & Kendall","2020-05-02T00:00:00.000","29800000","Renovations","Athletic Facility Improvements","3","0","0","Cancelled","TBR"
"Lake Jackson","CITY","Brazoria","2020-05-02T00:00:00.000","2635000","Renovations","Street & Drainage","5","0","0","Cancelled","TBR"
"Richards ISD","ISD","Grimes-Montgomery-Walker","2020-05-02T00:00:00.000","5900000","Building","School  Building","1","0","0","Cancelled","TBR"
"Waxahachie ISD","ISD","Ellis","2020-05-02T00:00:00.000","33400000","Building","School  Building","1","0","0","Cancelled","TBR"
"Lake Jackson","CITY","Brazoria","2020-05-02T00:00:00.000","9200000","Building","City Hall","1","0","0","Cancelled","TBR"
"Lake Jackson","CITY","Brazoria","2020-05-02T00:00:00.000","11500000","Renovations","Street & Drainage","6","0","0","Cancelled","TBR"
"Comal ISD","ISD","Comal, Bexar, Guadalupe, Hays & Kendall","2020-05-02T00:00:00.000","124700000","Building","Multi-Pupose Center","2","0","0","Cancelled","TBR"
"Temple","CITY","Bell","2020-05-02T00:00:00.000","33000000","Other","Park","1","0","0","Cancelled","TBR"
"Lake Jackson","CITY","Brazoria","2020-05-02T00:00:00.000","3500000","Other","Animal Care & Control","2","0","0","Cancelled","TBR"
"Lake Jackson","CITY","Brazoria","2020-05-02T00:00:00.000","300000","Building","Library","4","0","0","Cancelled","TBR"
"Corsicana ISD","ISD","Navarro","2020-05-02T00:00:00.000","35000000","Building","School  Building","1","0","0","Cancelled","TBR"
"San Diego ISD","ISD","Duval","2020-05-02T00:00:00.000","850000","Building","Stadium","2","231","106","Carried","TBR"
"San Diego ISD","ISD","Duval","2020-05-02T00:00:00.000","1645000","Building","SchoolBuildingAthleticImprovements","1","228","113","Carried","TBR"
"Lake Jackson","CITY","Brazoria","2020-05-02T00:00:00.000","2300000","Other","Police","3","0","0","Cancelled","TBR"
"Comal ISD","ISD","Comal, Bexar, Guadalupe, Hays & Kendall","2020-05-02T00:00:00.000","232800000","Building","School Building & Security","1","0","0","Cancelled","TBR"
"Muleshoe Area Hospital District","HHD","Bailey-Parmer","2020-05-02T00:00:00.000","9000000","Building","Hospital","1","238","269","Defeated","TBR"
"Barbers Hill ISD","ISD","Chambers","2020-05-02T00:00:00.000","277500000","Building","School Building, Buses & Technology","1","1595","248","Carried","TBR"
"Waller County MUD 19","WD","Waller","2020-05-02T00:00:00.000","31000000","Refund","Roads, Refunding","D","1","0","Carried","TBR"
"Waller County MUD 19","WD","Waller","2020-05-02T00:00:00.000","5400000","Refund","Parks & Recreation Refunding","F","1","0","Carried","TBR"
"Waller County MUD 19","WD","Waller","2020-05-02T00:00:00.000","85000000","Other","Water, Sewer & Drainage","A","1","0","Carried","TBR"
"Waller County MUD 19","WD","Waller","2020-05-02T00:00:00.000","62000000","Other","Road","C","1","0","Carried","TBR"
"Waller County MUD 19","WD","Waller","2020-05-02T00:00:00.000","10800000","Other","Parks & Recreation","E","1","0","Carried","TBR"
"Waller County MUD 19","WD","Waller","2020-05-02T00:00:00.000","42500000","Refund","Water, Sewer, Drainage, & Refunding","B","1","0","Carried","TBR"
"Lamar CISD","ISD","Fort Bend","2020-11-03T00:00:00.000","21582000","Other","Technology","4","45250","29024","Carried","TBR"
"Fort Bend County","COUNTY","Fort Bend","2020-11-03T00:00:00.000","38400000","Other","Parks & Recreation","2","212664","101958","Carried","TBR"
"Ferris ISD","ISD","Ellis","2020-11-03T00:00:00.000","8000000","Building","School  Building","1","1374","2071","Defeated","TBR"
"Aransas County","COUNTY","Aransas","2020-11-03T00:00:00.000","1370000","Building","Hospital","3","7911","3649","Carried","TBR"
"Laguna Madre WD","WD","Cameron","2020-11-03T00:00:00.000","27620000","Other","Water","1","3002","1283","Carried","TBR"
"Willis ISD","ISD","Montgomery","2020-11-03T00:00:00.000","62530000","Other","Athletic Facility Improvements","2","0","0","Cancelled","TBR"
"Hays CISD","ISD","Hays","2020-11-03T00:00:00.000","137482025","Other","School Building & Buses","1","0","0","Cancelled","TBR"
"Galveston ISD","ISD","Galveston","2020-11-03T00:00:00.000","11100000","Other","Athletic Facilities Improvements","3","0","0","Cancelled","TBR"
"Kyle","CITY","Hays","2020-11-03T00:00:00.000","37000000","Building","Public Safety Facilities","1","9225","7401","Carried","TBR"
"Corpus Christi ISD","ISD","Nueces","2020-11-03T00:00:00.000","136200000","Building","School  Building","1","43802","30378","Carried","TBR"
"Northwest ISD","ISD","Denton","2020-11-03T00:00:00.000","8840000","Other","Stadium","3","7055","17215","Defeated","TBR"
"Irving","CITY","Dallas","2020-11-03T00:00:00.000","9200000","Other","City Hall","2","0","0","Cancelled","TBR"
"West Lake Hills","CITY","Travis","2020-11-03T00:00:00.000","12000000","Other","City Hall","1","0","0","Cancelled","TBR"
"Aransas County","COUNTY","Aransas","2020-11-03T00:00:00.000","17235000","Building","Court Facility","1","5446","6187","Defeated","TBR"
"Hays CISD","ISD","Hays","2020-11-03T00:00:00.000","1300000","Other","Technology","6","0","0","Cancelled","TBR"
"Cumby ISD","ISD","Hopkins-Hunt","2020-11-03T00:00:00.000","6200000","Building","SchoolBuildingAthleticImprovements","1","0","0","Cancelled","TBR"
"Ferris ISD","ISD","Ellis","2020-11-03T00:00:00.000","4000000","Other","Athletic Facilities Improvements","2","1184","2234","Defeated","TBR"
"Alamo Heights","CITY","Bexar","2020-11-03T00:00:00.000","13250000","Other","Road","1","3511","942","Carried","TBR"
"Wichita Falls ISD","ISD","Wichita","2020-11-03T00:00:00.000","13580000","Renovations","Athletic Facilities Improvements","2","12547","13693","Defeated","TBR"
"China Spring ISD","ISD","McLennan","2020-11-03T00:00:00.000","33000000","Building","School  Building","1","0","0","Cancelled","TBR"
"Latexo ISD","ISD","Houston","2020-11-03T00:00:00.000","5000000","Building","School Building/Gym","1","626","381","Carried","TBR"
"Dallas ISD","ISD","Dallas","2020-11-03T00:00:00.000","270000000","Other","Technology","2","187095","174060","Carried","TBR"
"Gregory-Portland ISD","ISD","San Patricio","2020-11-03T00:00:00.000","9253667","Other","Technology","2","4445","3733","Carried","TBR"
"Hamshire-Fannett ISD","ISD","Jefferson","2020-11-03T00:00:00.000","36920000","Building","School  Building","1","2655","2444","Carried","TBR"
"Fort Stockton ISD","ISD","Pecos","2020-11-03T00:00:00.000","2740000","Other","Facilities","2","0","0","Cancelled","TBR"
"Willis ISD","ISD","Montgomery","2020-11-03T00:00:00.000","12500000","Other","Natatorium","3","0","0","Cancelled","TBR"
"Irving","CITY","Dallas","2020-11-03T00:00:00.000","20200000","Other","Library","10","0","0","Cancelled","TBR"
"Royal ISD","ISD","Waller","2020-11-03T00:00:00.000","4000000","Other","Land purchase","3","1320","1960","Defeated","TBR"
"Santa Fe ISD","ISD","Galveston","2020-11-03T00:00:00.000","4695000","Building","SchoolBuildingAthleticImprovements","1","0","0","Cancelled","TBR"
"Pflugerville","CITY","Travis","2020-11-03T00:00:00.000","42300000","Other","Parks & Recreation","2","17254","8911","Carried","TBR"
"Kyle","CITY","Hays","2020-11-03T00:00:00.000","10000000","Other","Park","2","9190","7154","Carried","TBR"
"Greenville","CITY","Hunt","2020-11-03T00:00:00.000","4500000","Other","Street & Drainage","1","4696","3346","Carried","TBR"
"Southlake","CITY","Tarrant","2020-11-03T00:00:00.000","50000000","Other","Park","1","0","0","Cancelled","TBR"
"Bridgeport ISD","ISD","Wise","2020-11-03T00:00:00.000","6350000","Other","Sports Complex","3","0","0","Cancelled","TBR"
"Lago Vista ISD","ISD","Travis","2020-11-03T00:00:00.000","5130000","Other","Athletic Facilities Improvements","3","2781","4329","Defeated","TBR"
"China Spring ISD","ISD","McLennan","2020-11-03T00:00:00.000","15170000","Building","School Building & Technology","2","0","0","Cancelled","TBR"
"Banquete ISD","ISD","Nueces","2020-11-03T00:00:00.000","4125000","Building","School  Building","1","838","789","Carried","TBR"
"Nordheim ISD","ISD","DeWitt","2020-11-03T00:00:00.000","1585000","Other","Athletic Facilities Improvements","2","0","0","Cancelled","TBR"
"Burnet CISD","ISD","Burnet","2020-11-03T00:00:00.000","5760000","Other","Athletic Facilities Improvements","2","0","0","Cancelled","TBR"
"Prosper","CITY","Collin","2020-11-03T00:00:00.000","30000000","Other","Parks & Recreation","2","8717","3031","Carried","TBR"
"Palacios ISD","ISD","Matagorda","2020-11-03T00:00:00.000","83000000","Building","School  Building","1","0","0","Cancelled","TBR"
"Oakwood ISD","ISD","Leon","2020-11-03T00:00:00.000","2400000","Building","SchoolBuildingAthleticImprovements","1","0","0","Cancelled","TBR"
"Hays CISD","ISD","Hays","2020-11-03T00:00:00.000","12134802","Other","Stadium","3","0","0","Cancelled","TBR"
"Caddo Mills ISD","ISD","Hunt","2020-11-03T00:00:00.000","90000000","Building","School  Building","1","1952","1766","Carried","TBR"
"Bridgeport ISD","ISD","Wise","2020-11-03T00:00:00.000","78650000","Building","School Building","1","0","0","Cancelled","TBR"
"Rogers ISD","ISD","Bell","2020-11-03T00:00:00.000","100000","Other","Athletic Facilities Improvements","2","767","959","Defeated","TBR"
"North Lamar ISD","ISD","Lamar","2020-11-03T00:00:00.000","17735000","Other","School Building Improvements","3","0","0","Cancelled","TBR"
"Hardin-Jefferson ISD","ISD","Hardin","2020-11-03T00:00:00.000","3750000","Other","Athletic Facilities Improvements","2","5816","3335","Carried","TBR"
"Irving","CITY","Dallas","2020-11-03T00:00:00.000","29930000","Other","Police","5","0","0","Cancelled","TBR"
"Irving","CITY","Dallas","2020-11-03T00:00:00.000","34300000","Other","Fire Imprs","7","0","0","Cancelled","TBR"
"Port Aransas ISD","ISD","Nueces","2020-11-03T00:00:00.000","4224000","Building","School  Building","1","1242","991","Carried","TBR"
