Election Date,Agency Name,County,Election Type,Measure Name,Type of Tax/Debt,Amount of Bond/Tax,% Yes,% No,Threshold Value,Election Result,Purpose
06/02/2026 00:00:00,San Benito County,San Benito,Local,D,"Tax (Levy, Parcel, Sales, Fee)","Cannabis tax: With cannabis cultivation allowed in San Benito County but not generating tax revenue, shall an ordinance be adopted to amend Article V of Chapter 5.03 of the Code to adjust the Countyâ€™s cannabis business tax rate in the unincorporated area by adjusting the current rate to a $1,000 to $10,000 per-acre rate with revenue for general fund services like law enforcement, fire protection, road improvements, and other essential community needs without raising taxes on residents",67.49,32.51,Majority,Pass,General Government
06/02/2026 00:00:00,La Puente,Los Angeles,Primary,LP,"Tax (Levy, Parcel, Sales, Fee)",Sales tax: La Puente's 1/2% transactions (sales) and use tax be increased to 1 % raising an additional $3.6 million annually.,61.37,38.63,Majority,Pass,General Government
06/02/2026 00:00:00,Lomita,Los Angeles,Primary,LW,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: Establishing a 1/4¢ local sales tax, providing approximately $650,000 annually until ended by voters.",61.87,38.13,Majority,Pass,General Government
06/02/2026 00:00:00,Palos Verdes Estates,Los Angeles,Primary,PF,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Extending the City of Palos Verdes Estates parcel tax for 10 years at the rate of $990 plus 67¢ per square foot of building improvements, generating approximately $16,200,000 annually.",41.29,58.71,Majority,Fail,"Fire, Police Protection/Emergency Medical"
06/02/2026 00:00:00,Red Bluff,Tehama,Primary,S,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: Establishing a locally controlled 1-cent sales tax providing approximately $5,100,000 annually for 12-years.",62.51,37.49,Majority,Pass,Street Construction and Improvements
06/02/2026 00:00:00,San Marino,Los Angeles,Primary,S,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: 1 percent transaction and use tax, raising $1,651,000 annually.",64.82,35.18,Majority,Pass,General Government
06/02/2026 00:00:00,Peralta Community College District,Alameda,Primary,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Reauthorizing the existing $48 per parcel annually for 9 years, providing $8,000,000 annually.",87.14,12.86,Two-thirds,Pass,"College, University Facility"
06/02/2026 00:00:00,Truckee,Nevada,Primary,K,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: Renewing the Town of Truckee's existing transportation sales tax at the current 1/2% rate (no increase), providing approximately $4,000,000 annually.",74.02,25.98,Two-thirds,Pass,Bridges and Highways
06/02/2026 00:00:00,Mill Valley School District,Marin,Primary,E,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Reauthorizing the expiring school parcel tax at the current rate of $1,520, and restoring the recently expired $234 per parcel, providing $14,900,000 annually for 8 years.",73.60,26.40,Two-thirds,Pass,K-12 School Facility
06/02/2026 00:00:00,Moraga School District,Contra Costa,Primary,I,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: $295 per parcel, providing $1,700,000 annually, for 7 years.",70.43,29.57,Two-thirds,Pass,K-12 School Facility
